2020-05-23 21:56:07,532 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:07,642 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:07,644 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:07,647 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:07,675 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:07,679 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:07,685 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:07,808 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:07,809 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:07,815 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:07,991 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:07,993 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:07,996 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,021 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,051 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,053 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,133 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,136 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,139 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,160 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,162 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,164 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,198 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,202 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,212 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,356 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,357 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,359 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,383 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,384 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,390 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,491 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,493 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,496 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,520 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,521 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,528 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,639 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,640 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,643 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,694 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,696 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
2020-05-23 21:56:08,709 WARN  SnsAmbassador - Unit veh_20 is not known, skipping
2020-05-23 21:56:08,853 WARN  SnsAmbassador - Unit veh_10 is not known, skipping
2020-05-23 21:56:08,859 WARN  SnsAmbassador - Unit veh_0 is not known, skipping
